stratum,n,auc,acc,nll,dataset,model,fold,split_seed
cold,73,0.3001949317738791,0.7397260273972602,0.5875806439737205,junyi,dkt,1.0,43.0
hot,7811219,0.719352952868726,0.8289383513635964,0.4226131591624746,junyi,dkt,1.0,43.0
very_cold,48,0.4390625,0.1666666666666666,0.9215252178801312,junyi,dkt,1.0,43.0
warm,8883,0.6396865768194967,0.6918833727344366,0.5937838983167986,junyi,dkt,1.0,43.0
cold,73,0.3001949317738791,0.7397260273972602,0.600912140805331,junyi,simplekt,1.0,43.0
hot,7811219,0.719352952868726,0.8304957267233194,0.4139282018669105,junyi,simplekt,1.0,43.0
very_cold,48,0.4390625,0.5416666666666666,0.7664560367546027,junyi,simplekt,1.0,43.0
warm,8883,0.6396865768194967,0.6915456489924575,0.5880382321178719,junyi,simplekt,1.0,43.0
cold,73,0.3001949317738791,0.7397260273972602,0.5944775259215063,junyi,akt,1.0,43.0
hot,7811219,0.7175972395943652,0.8294974190328039,0.4248068655518898,junyi,akt,1.0,43.0
very_cold,48,0.4390625,0.5,0.8154217238784119,junyi,akt,1.0,43.0
warm,8883,0.6397925120330394,0.7051671732522796,0.5887514747943317,junyi,akt,1.0,43.0
cold,73,0.3001949317738791,0.7397260273972602,0.5857210211600961,junyi,gkt,1.0,43.0
hot,7811219,0.7051253594080904,0.8290309105403395,0.4247580146362543,junyi,gkt,1.0,43.0
very_cold,48,0.4390625,0.1666666666666666,0.9902588053029991,junyi,gkt,1.0,43.0
warm,8883,0.6400382080137195,0.6918833727344366,0.5999484078917215,junyi,gkt,1.0,43.0
cold,73,0.3001949317738791,0.7397260273972602,0.5890191724467544,junyi,gikt,1.0,43.0
hot,7811219,0.7137021508559709,0.82985754208146,0.4195742507197553,junyi,gikt,1.0,43.0
very_cold,48,0.4390625,0.1666666666666666,0.8907066709919008,junyi,gikt,1.0,43.0
warm,8883,0.6406025418982092,0.6918833727344366,0.5910033318543908,junyi,gikt,1.0,43.0
cold,61,0.7668997668997669,0.7540983606557377,0.5635132891747044,junyi,bkt,2.0,44.0
hot,7874450,0.7189069556199378,0.8283910622329178,0.4170919989275657,junyi,bkt,2.0,44.0
out_of_range,9,0.5,0.6666666666666666,0.6462891725324977,junyi,bkt,2.0,44.0
very_cold,56,1.0,0.9285714285714286,0.2518461796253669,junyi,bkt,2.0,44.0
warm,6713,0.6389442857644043,0.6783852227022196,0.6061854641249156,junyi,bkt,2.0,44.0
cold,61,0.7668997668997669,0.639344262295082,0.6009803255274038,junyi,dkt,2.0,44.0
hot,7874450,0.7189069556199378,0.8268019988697624,0.425918619739575,junyi,dkt,2.0,44.0
out_of_range,9,0.5,0.3333333333333333,0.733313969284882,junyi,dkt,2.0,44.0
very_cold,56,1.0,0.8928571428571429,0.2819324859057479,junyi,dkt,2.0,44.0
warm,6713,0.6389442857644043,0.6728735289736333,0.615233972052774,junyi,dkt,2.0,44.0
cold,61,0.7668997668997669,0.7540983606557377,0.5635132891747044,junyi,simplekt,2.0,44.0
hot,7874450,0.7189069556199378,0.8283910622329178,0.4170919989275657,junyi,simplekt,2.0,44.0
out_of_range,9,0.5,0.6666666666666666,0.6462891725324977,junyi,simplekt,2.0,44.0
very_cold,56,1.0,0.9285714285714286,0.2518461796253669,junyi,simplekt,2.0,44.0
warm,6713,0.6389442857644043,0.6783852227022196,0.6061854641249155,junyi,simplekt,2.0,44.0
cold,61,0.7668997668997669,0.7540983606557377,0.5839170362466932,junyi,akt,2.0,44.0
hot,7874450,0.7174471152604681,0.827281905402917,0.427527331733619,junyi,akt,2.0,44.0
out_of_range,9,0.5,0.6666666666666666,0.6838194426227342,junyi,akt,2.0,44.0
very_cold,56,1.0,0.8928571428571429,0.3074551683954992,junyi,akt,2.0,44.0
warm,6713,0.6387386267543016,0.6728735289736333,0.607023575167153,junyi,akt,2.0,44.0
cold,61,0.7668997668997669,0.639344262295082,0.618558774277152,junyi,gkt,2.0,44.0
hot,7874450,0.7033349847604627,0.8268220637631835,0.4283823312469063,junyi,gkt,2.0,44.0
out_of_range,9,0.5,0.3333333333333333,0.783597089784331,junyi,gkt,2.0,44.0
very_cold,56,1.0,0.8928571428571429,0.2931325280525962,junyi,gkt,2.0,44.0
